"CARREIRA/PLANO";"MASCULINO";"FEMININO"
"PLANO ESPECIAL DE CARGOS DA SUFRAMA - MÉDICO";;1
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO";52509;59772
"CARREIRA DE MAGISTÉRIO SUPERIOR";40063;32172
"";18238;19419
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO, TÉCNICO E TECNOLÓGICO";18127;12977
"CARREIRA DO SEGURO SOCIAL";14168;20105
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO";13318;11948
"CARREIRA DE AUDITORIA FISCAL DA RECEITA FEDERAL DO BRASIL";12090;6156
"CARREIRA POLICIAL FEDERAL";9743;1562
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO";9307;16170
"CARREIRA DE POLICIAL RODOVIÁRIO FEDERAL";9108;927
"CONTRATO TEMPORÁRIO - LEI Nº 8.745/93";4959;4961
"CARGOS DAS AGÊNCIAS REGULADORAS";4081;1911
"CARREIRA DE ESPECIALISTA EM MEIO AMBIENTE";3914;2117
"AGENTE DE COMBATE ÀS ENDEMIAS - LEI Nº 11.350/2006";3706;1320
"PLANO ESPECIAL DE CARGOS DO MINISTÉRIO DA FAZENDA";3543;4320
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - MÉDICO";3521;2920
"CARREIRAS DE GESTÃO GOVERNAMENTAL";3075;1600
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO";2966;2533
"PLANO DE CARREIRA DOS CARGOS DE REFORMA E DESENVOLVIMENTO AGRÁRIO";2862;1488
"CARREIRA DE PERITO MÉDICO PREVIDENCIÁRIO";2737;1763
"ANISTIADO COLLOR - EMPREGO PÚBLICO";2617;970
"CARREIRA DE SUPORTE TÉCNICO EM PRODUÇÃO E ANÁLISE EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";2564;1119
"CARREIRA DE FISCAL FEDERAL AGROPECUÁRIO";2362;828
"CARREIRA DE PROCURADOR FEDERAL";2305;1643
"CARREIRA DE GESTÃO, PLANEJAMENTO E INFRA-ESTRUTURA EM CIÊNCIA E TECNOLOGIA";2224;1903
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - MÉDICO";2202;1776
"PLANO DE CARGOS DO MAPA";2198;322
"CARREIRA DE AUDITORIA-FISCAL DO TRABALHO";1813;1117
"PLANO ESPECIAL DE CARGO DO DPF";1406;997
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - ATIVIDADES DE COMBATE E CONTROLE DE ENDEMIAS";1388;523
"ESTRUTURA REMUNERATÓRIA ESPECIAL DE CARGOS ESPECÍFICOS";1349;408
"POLÍCIA MILITAR DOS EX-TERRITÓRIOS";1345;67
"CARREIRA DE DIPLOMATA";1179;334
"PLANO ESPECIAL DE CARGOS DA CULTURA";1153;1240
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - CARGO CRIADO EM 2006";1128;955
"CARREIRA DE PROCURADOR DA FAZENDA NACIONAL";1030;877
"CARREIRA DE ADVOGADO DA UNIÃO";887;705
"PLANO ESPECIAL DE CARGOS DO DNIT";798;471
"CARREIRA DE AGENTE PENITENCIÁRIO";759;148
"CARREIRA DE PERITO FEDERAL AGRÁRIO";712;127
"CARREIRA DE PESQUISA EM CIÊNCIA E TECNOLOGIA";680;412
"CARREIRA DE SUPORTE EM PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";629;350
"CARREIRA DE PRODUÇÃO E ANÁLISE EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";577;363
"CARREIRA DE SUPORTE TÉCNICO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";546;592
"CARREIRA DE ANALISTA DE INFRA-ESTRUTURA";537;183
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";519;967
"PLANO ESPECIAL DE CARGOS DA AGÊNCIA DE VIGILÂNCIA SANITÁRIA";499;461
"CARREIRA DE PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";467;251
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO DOS EX-TERRITÓRIOS";460;1102
"CARREIRA DE OFICIAL DE CHANCELARIA";397;473
"PLANO ESPECIAL DE CARGOS DO DNIT - ART. 3º-A DA LEI Nº 11.171/2005";387;53
"PLANO ESPECIAL DE CARGOS - DPRF";375;144
"PLANO ESPECIAL DE CARGOS DAS AGÊNCIAS REGULADORAS";357;257
"CARREIRA DE GESTÃO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";331;457
"CARREIRA DE INFRA-ESTRUTURA DE TRANSPORTES";326;106
"CARREIRA DE PESQUISA EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";310;457
"CARREIRA DE PESQUISA E DESENVOLVIMENTO EM METROLOGIA E QUALIDADE";305;142
"CARREIRA DE DEFENSOR PÚBLICO";296;183
"CARREIRA DE ANALISTA DA CVM";294;51
"CARREIRA DE SUPORTE À GESTÃO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";288;163
"POLÍCIA CIVIL DOS EX-TERRITÓRIOS";277;139
"CARREIRA DE ASSISTENTE DE CHANCELARIA";263;354
"CARREIRA DE ANALISTA TÉCNICO DA SUSEP";226;106
"CARREIRA DE ESPECIALISTA EM RECURSOS MINERAIS";216;45
"PLANO ESPECIAL DE CARGOS DO DNPM - ART. 15 DA LEI Nº 11.046/2004";208;47
"CARREIRA DE PESQUISA EM PROPRIEDADE INDUSTRIAL";190;155
"PLANO ESPECIAL DE CARGOS DA SUFRAMA";188;149
"PLANO ESPECIAL DE CARGO DO DNPM - ART. 3º DA LEI Nº 11.046/2004";176;190
"CARGOS DA AGÊNCIA NACIONAL DE ÁGUAS";175;91
"CARREIRA DE PLANEJAMENTO E PESQUISA DO IPEA";171;39
"CARREIRA DE SUPORTE À GESTÃO EM METROLOGIA E QUALIDADE";169;94
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - MÉDICO";168;78
"QUADRO DE PESSOAL DA IN";164;104
"CARREIRA MÉDICA - ÁREA MÉDICA";158;176
"CARREIRA DE SUPORTE TÉCNICO À METROLOGIA E QUALIDADE";154;39
"PLANO ESPECIAL DE CARGOS - PECMA";152;128
"PLANO DE CARREIRAS E CARGOS DO IPEA - NÃO INTEGRANTES DE CARREIRAS";143;64
"CARREIRA DE ANALISTA ADMINISTRATIVO";135;79
"PLANO DE CARREIRAS E CARGOS DA SUSEP E DA CVM";135;114
"CARREIRA DE SUPORTE TÉCNICO À INFRA-ESTRUTURA DE TRANSPRTES";124;44
"PLANO ESPECIAL DE CARGOS DO FNDE";120;144
"CARREIRA DE SUPORTE TÉCNICO EM PROPRIEDADE INDUSTRIAL";118;83
"CARREIRA DE SUPORTE ÀS ATIVIDADES MÉDICO-HOSPITALARES - ÁREA DE SAÚDE";117;523
"CARREIRA DA SEGURIDADE SOCIAL E DO TRABALHO";114;142
"CARREIRA DE GESTÃO EM METROLOGIA E QUALIDADE";87;63
"CARREIRA DE TÉCNICO ADMINISTRATIVO";86;56
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA - MÉDICO";71;82
"CARREIRA DA SEGURIDADE SOCIAL E DO TRABALHO - MÉDICO";68;35
"CARREIRA DE PESQUISA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";64;39
"CARREIRA DE PRODUÇÃO E ANÁLISE EM PROPRIEDADE INDUSTRIAL";58;54
"CARREIRA DE SUPERVISOR MÉDICO-PERICIAL";58;41
"CARGO ISOLADO DE INFRA-ESTRUTURA";56;5
"PLANO D E CLASSIFICAÇÃO DE CARGOS - PCC";53;28
"CARREIRA DE PESQUISA E DESENVOLVIMENTO DE INFORMAÇÕES E AVALIAÇÕES EDUCACIONAIS";53;70
"CARREIRA DE SUPORTE EM PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM PROPRIEDADE INDUSTRIAL";50;51
"PLANO ESPECIAL DE CARGOS DA EMBRATUR";44;47
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - GRUPO ANTERIOR";43;60
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";43;75
"CARREIRA DE PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM PROPRIEDADE INDUSTRIAL";42;38
"PLANO DE CARGOS DO GRUPO P-1500";42;24
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL INTERMEDIÁRIO DA ÁREA ADMINISTRATIVA";41;84
"PLANO ESPECIAL DE CARGO DO DPF - MÉDICO";38;14
"CARREIRA DE SUPORTE TÉCNICO AO FINANCIAMENTO E EXECUÇÃO DE PROGRAMAS E PROJETOS EDUCACIONAIS";37;44
"PLANO ESPECIAL DE CARGOS DO MINISTÉRIO DA FAZENDA - MÉDICO";36;19
"PLANO ESPECIAL DE CARGOS DO INEP";35;48
"CARREIRA DE TÉCNICO EM ATIVIDADES DE MINERAÇÃO";34;7
"PLANO DE CARREIRAS E CARGOS DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";32;51
"CARREIRA DE FINANCIAMENTO E EXECUÇÃO DE PROGRAMAS E PROJETOS EDUCACIONAIS";31;48
"CARREIRA DE ESPECIALISTA EM ATIVIDADES HOSPITALARES - ÁREA DE SAÚDE";29;149
"PLANO DE CARREIRA E CARGOS DA CVM";29;5
"CARREIRA DE ESPECIALISTA EM PREVIDÊNCIA COMPLEMENTAR";22;3
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - ENGENHEIRO-FARMACÊUTICO-QUÍMICO";21;15
"CARREIRA DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";19;44
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL AUXILIAR DA ÁREA ADMINISTRATIVA";19;14
"CARREIRA DE PROCURADOR FEDERAL (TRANSFORMADO)";16;8
"PLANO DE CARREIRAS E CARGOS DO IBGE";15;7
"CARREIRA DE SUPORTE TÉCNICO EM INFORMAÇÕES EDUCACIONAIS";14;14
"PLANO DE CARREIRAS E CARGOS DA PREVIC";13;18
"CARREIRA DE SUPORTE À GESTÃO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";11;9
"CARREIRA DE APOIO OPERACIONAL À GESTÃO EM METROLOGIA E QUALIDADE";10;7
"PLANO DE CLASSIFICAÇÃO DE CARGOS - MÉDICO";10;
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - GRUPO ANTERIOR - MÉDICO";10;11
"CARREIRA DO SEGURO SOCIAL - MÉDICO";10;4
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA - CARGO ISOLADO";10;6
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - SANITARISTA";8;9
"PLANO ESPECIAL DE CARGOS DO DNIT - MÉDICO";8;1
"PLANO DE CARREIRA DOS CARGOS DE REFORMA E DESENVOLVIMENTO AGRÁRIO - MÉDICO";8;2
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL SUPERIOR DA ÁREA ADMINISTRATIVA";8;5
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";7;12
"PLANO DE CARREIRAS E CARGOS DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA - MÉDICO";7;4
"CARREIRA DE ESPECIALISTA EM ASSISTÊNCIA PENITENCIÁRIA";6;22
"PLANO ESPECIAL DE CARGOS - DPRF - MÉDICO";6;1
"PLANO DE CARREIRAS E CARGOS DO IBGE - MÉDICO";6;
"CARREIRA DE TÉCNICO DE APOIO À ASSISTÊNCIA PENITENCIÁRIA";5;8
"CARREIRA PREVIDENCIÁRIA";4;3
"PLANO DE CARREIRAS E CARGOS DA SUSEP - QUADRO SUPLEMENTAR";4;2
"PLANO DE CARREIRAS E CARGOS DO INMETRO - CARGO ISOLADO";3;1
"CARREIRA DE GESTÃO, PLANEJAMENTO E INFRA-ESTRUTURA EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";3;
"LLOYDBRÁS - EXTINTO";2;
"CARREIRA DE GESTÃO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";1;3
"CARREIRA DE SUPORTE TÉCNICO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";1;1
"PLANO DE CARREIRAS E CARGOS DO IPEA - MÉDICO";1;
"QUADROS SUPLEMENTARES DA ADVOCACIA-GERAL DA UNIÃO";1;
"CARREIRA DE AUDITORIA FISCAL DA RECEITA FEDERAL DO BRASIL (GRUPO-CARGO ALTERADO)";1;
"PLANO DE CLASSIFICAÇÃO DE CARGOS - ANEXO V DA LEI Nº 9.367/96 E LEI Nº 6.550/78";1;
"CARREIRA PREVIDENCIÁRIA - MÉDICO";1;
"MAGISTÉRIO NÃO AMPARADO - EX-TERRITÓRIO (EXTINTO)";1;2
"QUADRO DE PESSOAL DA IN - MÉDICO";1;
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO FEDERAL";1;
"PLANO DE CARREIRAS E CARGOS DO INPI - CARGO ISOLADO";1;3
"CARREIRA DE PERÍCIA MÉDICA DA PREVIDÊNCIA SOCIAL (EXTINTA)";1;
