"CARREIRA/PLANO";"Até 30 anos";"31 a 40 anos";"41 a 50 anos";"51 a 60 anos";"61 ou mais";"não informado";"total"
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO";19768;23296;28974;33183;7060;;112281
"CARREIRA DE MAGISTÉRIO SUPERIOR";5191;22192;21392;16664;6796;;72235
"";13716;8688;6706;6376;2171;;37657
"CARREIRA DO SEGURO SOCIAL";3919;5623;7747;14509;2475;;34273
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO, TÉCNICO E TECNOLÓGICO";5314;10649;8769;5358;1014;;31104
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO";3289;5530;5803;8834;2021;;25477
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO";1337;1567;6200;11903;4259;;25266
"CARREIRA DE AUDITORIA FISCAL DA RECEITA FEDERAL DO BRASIL";572;3652;6506;6104;1412;;18246
"CARREIRA POLICIAL FEDERAL";634;5189;3805;1605;72;;11305
"CARREIRA DE POLICIAL RODOVIÁRIO FEDERAL";1142;4151;3544;986;212;;10035
"CONTRATO TEMPORÁRIO - LEI Nº 8.745/93";5631;2854;1000;375;60;;9920
"PLANO ESPECIAL DE CARGOS DO MINISTÉRIO DA FAZENDA";901;669;1768;3666;859;;7863
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - MÉDICO";194;1493;2190;2098;466;;6441
"CARREIRA DE ESPECIALISTA EM MEIO AMBIENTE";454;1266;1295;2395;621;;6031
"CARGOS DAS AGÊNCIAS REGULADORAS";1311;3149;1062;379;91;;5992
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO";478;1113;1426;2044;438;;5499
"AGENTE DE COMBATE ÀS ENDEMIAS - LEI Nº 11.350/2006";;322;2965;1398;341;;5026
"CARREIRAS DE GESTÃO GOVERNAMENTAL";536;1736;1437;858;108;;4675
"CARREIRA DE PERITO MÉDICO PREVIDENCIÁRIO";119;1433;1258;1136;554;;4500
"PLANO DE CARREIRA DOS CARGOS DE REFORMA E DESENVOLVIMENTO AGRÁRIO";191;612;815;2082;650;;4350
"CARREIRA DE GESTÃO, PLANEJAMENTO E INFRA-ESTRUTURA EM CIÊNCIA E TECNOLOGIA";265;586;1198;1727;351;;4127
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - MÉDICO";196;1428;692;1021;641;;3978
"CARREIRA DE PROCURADOR FEDERAL";439;1843;857;623;186;;3948
"CARREIRA DE SUPORTE TÉCNICO EM PRODUÇÃO E ANÁLISE EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";323;234;389;2285;452;;3683
"ANISTIADO COLLOR - EMPREGO PÚBLICO";;;513;1922;1152;;3587
"CARREIRA DE FISCAL FEDERAL AGROPECUÁRIO";108;675;599;973;835;;3190
"CARREIRA DE AUDITORIA-FISCAL DO TRABALHO";249;582;886;901;312;;2930
"PLANO DE CARGOS DO MAPA";146;242;222;1411;499;;2520
