"CARREIRA/PLANO";"Num deficientes";"total"
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO";715;112281
"CARREIRA DE MAGISTÉRIO SUPERIOR";123;72235
"";71;37657
"CARREIRA DO SEGURO SOCIAL";449;34273
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO, TÉCNICO E TECNOLÓGICO";58;31104
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO";189;25477
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO";119;25266
"CARREIRA DE AUDITORIA FISCAL DA RECEITA FEDERAL DO BRASIL";106;18246
"CARREIRA POLICIAL FEDERAL";8;11305
"CARREIRA DE POLICIAL RODOVIÁRIO FEDERAL";9;10035
"CONTRATO TEMPORÁRIO - LEI Nº 8.745/93";12;9920
"PLANO ESPECIAL DE CARGOS DO MINISTÉRIO DA FAZENDA";95;7863
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - MÉDICO";13;6441
"CARREIRA DE ESPECIALISTA EM MEIO AMBIENTE";78;6031
"CARGOS DAS AGÊNCIAS REGULADORAS";106;5992
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO";22;5499
"AGENTE DE COMBATE ÀS ENDEMIAS - LEI Nº 11.350/2006";3;5026
"CARREIRAS DE GESTÃO GOVERNAMENTAL";37;4675
"CARREIRA DE PERITO MÉDICO PREVIDENCIÁRIO";75;4500
"PLANO DE CARREIRA DOS CARGOS DE REFORMA E DESENVOLVIMENTO AGRÁRIO";45;4350
"CARREIRA DE GESTÃO, PLANEJAMENTO E INFRA-ESTRUTURA EM CIÊNCIA E TECNOLOGIA";26;4127
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - MÉDICO";7;3978
"CARREIRA DE PROCURADOR FEDERAL";17;3948
"CARREIRA DE SUPORTE TÉCNICO EM PRODUÇÃO E ANÁLISE EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";35;3683
"ANISTIADO COLLOR - EMPREGO PÚBLICO";4;3587
"CARREIRA DE FISCAL FEDERAL AGROPECUÁRIO";45;3190
"CARREIRA DE AUDITORIA-FISCAL DO TRABALHO";34;2930
"PLANO DE CARGOS DO MAPA";16;2520
"PLANO ESPECIAL DE CARGO DO DPF";31;2403
"PLANO ESPECIAL DE CARGOS DA CULTURA";28;2393
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - CARGO CRIADO EM 2006";41;2083
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - ATIVIDADES DE COMBATE E CONTROLE DE ENDEMIAS";3;1911
"CARREIRA DE PROCURADOR DA FAZENDA NACIONAL";1;1907
"ESTRUTURA REMUNERATÓRIA ESPECIAL DE CARGOS ESPECÍFICOS";7;1757
"CARREIRA DE ADVOGADO DA UNIÃO";11;1592
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO DOS EX-TERRITÓRIOS";2;1562
"CARREIRA DE DIPLOMATA";1;1513
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";15;1486
"POLÍCIA MILITAR DOS EX-TERRITÓRIOS";2;1412
"PLANO ESPECIAL DE CARGOS DO DNIT";3;1269
"CARREIRA DE SUPORTE TÉCNICO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";3;1138
"CARREIRA DE PESQUISA EM CIÊNCIA E TECNOLOGIA";3;1092
"CARREIRA DE SUPORTE EM PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";3;979
"PLANO ESPECIAL DE CARGOS DA AGÊNCIA DE VIGILÂNCIA SANITÁRIA";6;960
"CARREIRA DE PRODUÇÃO E ANÁLISE EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";6;940
"CARREIRA DE AGENTE PENITENCIÁRIO";;907
"CARREIRA DE OFICIAL DE CHANCELARIA";4;870
"CARREIRA DE PERITO FEDERAL AGRÁRIO";19;839
"CARREIRA DE GESTÃO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";9;788
"CARREIRA DE PESQUISA EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";3;767
"CARREIRA DE ANALISTA DE INFRA-ESTRUTURA";7;720
"CARREIRA DE PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";9;718
"CARREIRA DE SUPORTE ÀS ATIVIDADES MÉDICO-HOSPITALARES - ÁREA DE SAÚDE";5;640
"CARREIRA DE ASSISTENTE DE CHANCELARIA";4;617
"PLANO ESPECIAL DE CARGOS DAS AGÊNCIAS REGULADORAS";3;614
"PLANO ESPECIAL DE CARGOS - DPRF";3;519
"CARREIRA DE DEFENSOR PÚBLICO";9;479
"CARREIRA DE SUPORTE À GESTÃO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";3;451
"CARREIRA DE PESQUISA E DESENVOLVIMENTO EM METROLOGIA E QUALIDADE";2;447
"PLANO ESPECIAL DE CARGOS DO DNIT - ART. 3º-A DA LEI Nº 11.171/2005";;440
"CARREIRA DE INFRA-ESTRUTURA DE TRANSPORTES";3;432
"POLÍCIA CIVIL DOS EX-TERRITÓRIOS";1;416
"PLANO ESPECIAL DE CARGO DO DNPM - ART. 3º DA LEI Nº 11.046/2004";2;366
"CARREIRA DE PESQUISA EM PROPRIEDADE INDUSTRIAL";;345
"CARREIRA DE ANALISTA DA CVM";12;345
"PLANO ESPECIAL DE CARGOS DA SUFRAMA";1;337
"CARREIRA MÉDICA - ÁREA MÉDICA";1;334
"CARREIRA DE ANALISTA TÉCNICO DA SUSEP";2;332
"PLANO ESPECIAL DE CARGOS - PECMA";12;280
"QUADRO DE PESSOAL DA IN";3;268
"CARGOS DA AGÊNCIA NACIONAL DE ÁGUAS";11;266
"PLANO ESPECIAL DE CARGOS DO FNDE";6;264
"CARREIRA DE SUPORTE À GESTÃO EM METROLOGIA E QUALIDADE";;263
"CARREIRA DE ESPECIALISTA EM RECURSOS MINERAIS";4;261
"CARREIRA DA SEGURIDADE SOCIAL E DO TRABALHO";;256
"PLANO ESPECIAL DE CARGOS DO DNPM - ART. 15 DA LEI Nº 11.046/2004";;255
"PLANO DE CARREIRAS E CARGOS DA SUSEP E DA CVM";6;249
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - MÉDICO";;246
"CARREIRA DE ANALISTA ADMINISTRATIVO";1;214
"CARREIRA DE PLANEJAMENTO E PESQUISA DO IPEA";4;210
"PLANO DE CARREIRAS E CARGOS DO IPEA - NÃO INTEGRANTES DE CARREIRAS";;207
"CARREIRA DE SUPORTE TÉCNICO EM PROPRIEDADE INDUSTRIAL";3;201
"CARREIRA DE SUPORTE TÉCNICO À METROLOGIA E QUALIDADE";1;193
"CARREIRA DE ESPECIALISTA EM ATIVIDADES HOSPITALARES - ÁREA DE SAÚDE";4;178
"CARREIRA DE SUPORTE TÉCNICO À INFRA-ESTRUTURA DE TRANSPRTES";6;168
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA - MÉDICO";;153
"CARREIRA DE GESTÃO EM METROLOGIA E QUALIDADE";;150
"CARREIRA DE TÉCNICO ADMINISTRATIVO";6;142
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL INTERMEDIÁRIO DA ÁREA ADMINISTRATIVA";1;125
"CARREIRA DE PESQUISA E DESENVOLVIMENTO DE INFORMAÇÕES E AVALIAÇÕES EDUCACIONAIS";3;123
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";;118
"CARREIRA DE PRODUÇÃO E ANÁLISE EM PROPRIEDADE INDUSTRIAL";1;112
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - GRUPO ANTERIOR";;103
"CARREIRA DA SEGURIDADE SOCIAL E DO TRABALHO - MÉDICO";;103
"CARREIRA DE PESQUISA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";2;103
"CARREIRA DE SUPORTE EM PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM PROPRIEDADE INDUSTRIAL";;101
"CARREIRA DE SUPERVISOR MÉDICO-PERICIAL";;99
"PLANO ESPECIAL DE CARGOS DA EMBRATUR";3;91
"PLANO ESPECIAL DE CARGOS DO INEP";1;83
"PLANO DE CARREIRAS E CARGOS DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;83
"CARREIRA DE SUPORTE TÉCNICO AO FINANCIAMENTO E EXECUÇÃO DE PROGRAMAS E PROJETOS EDUCACIONAIS";;81
"PLANO D E CLASSIFICAÇÃO DE CARGOS - PCC";;81
"CARREIRA DE PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM PROPRIEDADE INDUSTRIAL";1;80
"CARREIRA DE FINANCIAMENTO E EXECUÇÃO DE PROGRAMAS E PROJETOS EDUCACIONAIS";;79
"PLANO DE CARGOS DO GRUPO P-1500";1;66
"CARREIRA DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;63
"CARGO ISOLADO DE INFRA-ESTRUTURA";;61
"PLANO ESPECIAL DE CARGOS DO MINISTÉRIO DA FAZENDA - MÉDICO";;55
"PLANO ESPECIAL DE CARGO DO DPF - MÉDICO";;52
"CARREIRA DE TÉCNICO EM ATIVIDADES DE MINERAÇÃO";;41
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - ENGENHEIRO-FARMACÊUTICO-QUÍMICO";;36
"PLANO DE CARREIRA E CARGOS DA CVM";;34
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL AUXILIAR DA ÁREA ADMINISTRATIVA";;33
"PLANO DE CARREIRAS E CARGOS DA PREVIC";1;31
"CARREIRA DE ESPECIALISTA EM ASSISTÊNCIA PENITENCIÁRIA";1;28
"CARREIRA DE SUPORTE TÉCNICO EM INFORMAÇÕES EDUCACIONAIS";3;28
"CARREIRA DE ESPECIALISTA EM PREVIDÊNCIA COMPLEMENTAR";2;25
"CARREIRA DE PROCURADOR FEDERAL (TRANSFORMADO)";;24
"PLANO DE CARREIRAS E CARGOS DO IBGE";;22
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - GRUPO ANTERIOR - MÉDICO";;21
"CARREIRA DE SUPORTE À GESTÃO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";;20
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";;19
"CARREIRA DE APOIO OPERACIONAL À GESTÃO EM METROLOGIA E QUALIDADE";;17
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - SANITARISTA";;17
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA - CARGO ISOLADO";;16
"CARREIRA DO SEGURO SOCIAL - MÉDICO";;14
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL SUPERIOR DA ÁREA ADMINISTRATIVA";;13
"CARREIRA DE TÉCNICO DE APOIO À ASSISTÊNCIA PENITENCIÁRIA";;13
"PLANO DE CARREIRAS E CARGOS DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA - MÉDICO";;11
"PLANO DE CLASSIFICAÇÃO DE CARGOS - MÉDICO";;10
"PLANO DE CARREIRA DOS CARGOS DE REFORMA E DESENVOLVIMENTO AGRÁRIO - MÉDICO";;10
"PLANO ESPECIAL DE CARGOS DO DNIT - MÉDICO";;9
"CARREIRA PREVIDENCIÁRIA";;7
"PLANO ESPECIAL DE CARGOS - DPRF - MÉDICO";;7
"PLANO DE CARREIRAS E CARGOS DO IBGE - MÉDICO";;6
"PLANO DE CARREIRAS E CARGOS DA SUSEP - QUADRO SUPLEMENTAR";;6
"CARREIRA DE GESTÃO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";;4
"PLANO DE CARREIRAS E CARGOS DO INPI - CARGO ISOLADO";;4
"PLANO DE CARREIRAS E CARGOS DO INMETRO - CARGO ISOLADO";;4
"CARREIRA DE GESTÃO, PLANEJAMENTO E INFRA-ESTRUTURA EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;3
"MAGISTÉRIO NÃO AMPARADO - EX-TERRITÓRIO (EXTINTO)";;3
"LLOYDBRÁS - EXTINTO";;2
"CARREIRA DE SUPORTE TÉCNICO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;2
"PLANO DE CARREIRAS E CARGOS DO IPEA - MÉDICO";;1
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO FEDERAL";;1
"CARREIRA DE PERÍCIA MÉDICA DA PREVIDÊNCIA SOCIAL (EXTINTA)";;1
"QUADROS SUPLEMENTARES DA ADVOCACIA-GERAL DA UNIÃO";;1
"CARREIRA PREVIDENCIÁRIA - MÉDICO";;1
"PLANO DE CLASSIFICAÇÃO DE CARGOS - ANEXO V DA LEI Nº 9.367/96 E LEI Nº 6.550/78";;1
"PLANO ESPECIAL DE CARGOS DA SUFRAMA - MÉDICO";;1
"QUADRO DE PESSOAL DA IN - MÉDICO";;1
"CARREIRA DE AUDITORIA FISCAL DA RECEITA FEDERAL DO BRASIL (GRUPO-CARGO ALTERADO)";;1
