"CÓD ÓRGÃO";"DESCRIÇÃO ÓRGÃO";"total"
"25000";"MINISTÉRIO DA SAÚDE";22604
"26245";"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO";13962
"26236";"UNIVERSIDADE FEDERAL FLUMINENSE";7747
"36205";"FUNDAÇÃO NACIONAL DE SAÚDE";5166
"36201";"FUNDAÇÃO OSWALDO CRUZ";4568
"57202";"INSTITUTO NACIONAL DO SEGURO SOCIAL";4304
"17000";"MINISTÉRIO DA FAZENDA";3924
"45205";"FUNDAÇÃO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA";3191
"26249";"UNIV. FEDERAL RURAL DO RIO DE JANEIRO";2430
"26269";"UNIVERSIDADE DO RIO DE JANEIRO";2043
"26201";"COLÉGIO PEDRO II";1948
"26433";"INSTITUTO FEDERAL DO RIO DE JANEIRO";1384
"26434";"INSTITUTO FEDERAL FLUMINENSE";1286
"20115";"DEPARTAMENTO DE POLÍCIA FEDERAL";1283
"26256";"CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA";1142
"30203";"INSTITUTO NAC. METROLOGIA, NORM. E QUALIDADE INDUSTRIAL";958
"40301";"COMISSÃO NACIONAL DE ENERGIA NUCLEAR";944
"40106";"ADVOCACIA-GERAL DA UNIÃO";919
"30802";"DEPTO. DE POLÍCIA RODOVIÁRIA FEDERAL";894
"30204";"INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL";836
"26000";"MINISTÉRIO DO TRABALHO E EMPREGO";825
"40108";"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO";718
"32300";"AGÊNCIA NAC PETRÓLEO GÁS NAT BIOCOMBUSTI";502
"52201";"AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL";494
"13000";"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO";488
"45203";"COMISSÃO DE VALORES MOBILIÁRIOS";484
"36208";"AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR";464
"20000";"MINISTÉRIO DA JUSTIÇA";451
"45208";"SUPERINTENDÊNCIA DE SEGUROS PRIVADOS";401
"39252";"DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.";395
"42207";"INSTITUTO BRASILEIRO DE MUSEUS";376
"24205";"FUNDAÇÃO BIBLIOTECA NACIONAL";342
"20224";"AGÊNCIA NACIONAL DO CINEMA";316
"26104";"INSTITUTO NACIONAL DE EDUCAÇÃO DE SURDOS";296
"20113";"MINISTÉRIO DO PLANEJAMENTO, ORÇAMENTO E GESTÃO";260
"24204";"INSTITUTO DO PATRINÔNIO HISTÓRICO E ARTÍSTICO NACIONAL";254
"24203";"FUNDAÇÃO NACIONAL DE ARTES";252
"44206";"INSTITUTO DE PESQ. JARDIM BOTÂNICO DO RIO DE JANEIRO";218
"39250";"AGÊNCIA NAC. DE TRANSPORTES TERRESTRES";201
"41000";"MINISTÉRIO DAS COMUNICAÇÕES";178
"26105";"INSTITUTO BENJAMIN CONSTANT";172
"44207";"INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE";170
"49000";"MINISTÉRIO DOS TRANSPORTES";156
"37000";"DEFENSORIA PÚBLICA DA UNIÃO";146
"40701";"INSTITUTO BRASILEIRO DO MEIO AMB., E DOS REC. NATURAIS RENOVÁVEIS";142
"42201";"INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA";117
"20125";"CONTROLADORIA-GERAL DA UNIÃO";96
"32100";"DEPARTAMENTO NACIONAL DE PRODUÇÃO MINERAL";95
"36207";"AGÊNCIA NACIONAL DE VIGILÂNCIA SANITÁRIA";92
"40403";"FUNDAÇÃO CASA DE RUI BARBOSA";91
"16100";"FUNDAÇÃO OSÓRIO";89
"35000";"MINISTÉRIO DAS RELAÇÕES EXTERIORES";83
"23000";"MINISTÉRIO DA PREVIDÊNCIA SOCIAL";80
"45206";"INSTITUTO DE PESQUISA ECONÔMICA APLICADA";78
"41231";"AGÊNCIA NACIONAL DE TELECOMUNICACÕES";78
"91214";"AUTORIDADE PÚBLICA OLÍMPICA";63
"30202";"FUNDAÇÃO NACIONAL DO ÍNDIO";59
"39251";"AGÊNCIA NAC. DE TRANSPORTES AQUAVIÁRIOS";45
"40107";"MINISTÉRIO DA CULTURA";44
"40105";"MINISTÉRIO DA DEFESA";33
"58000";"MINISTÉRIO DE PESCA E AQUICULTURA";23
"57201";"FUNDAÇÃO JORGE DUPRAT FIG. SEGURANÇA E MEDCINA DO TRABALHO";14
"35201";"FUNDAÇÃO ALEXANDRE DE GUSMÃO";8
"20101";"PRESIDÊNCIA DA REPÚBLICA";7
"42000";"MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO";7
"29000";"MINISTÉRIO DO ESPORTE";3
