"CARREIRA/PLANO";"Num serv Rio de Janeiro";"total"
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO";16788;112281
"CARREIRA DE MAGISTÉRIO SUPERIOR";9003;72235
"";6637;37657
"CARREIRA DO SEGURO SOCIAL";4099;34273
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO, TÉCNICO E TECNOLÓGICO";3380;31104
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO";12126;25477
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO";1136;25266
"CARREIRA DE AUDITORIA FISCAL DA RECEITA FEDERAL DO BRASIL";2173;18246
"CARREIRA POLICIAL FEDERAL";1064;11305
"CARREIRA DE POLICIAL RODOVIÁRIO FEDERAL";752;10035
"CONTRATO TEMPORÁRIO - LEI Nº 8.745/93";1338;9920
"PLANO ESPECIAL DE CARGOS DO MINISTÉRIO DA FAZENDA";1052;7863
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - MÉDICO";991;6441
"CARREIRA DE ESPECIALISTA EM MEIO AMBIENTE";306;6031
"CARGOS DAS AGÊNCIAS REGULADORAS";1528;5992
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO";3366;5499
"AGENTE DE COMBATE ÀS ENDEMIAS - LEI Nº 11.350/2006";5026;5026
"CARREIRAS DE GESTÃO GOVERNAMENTAL";116;4675
"CARREIRA DE PERITO MÉDICO PREVIDENCIÁRIO";473;4500
"PLANO DE CARREIRA DOS CARGOS DE REFORMA E DESENVOLVIMENTO AGRÁRIO";90;4350
"CARREIRA DE GESTÃO, PLANEJAMENTO E INFRA-ESTRUTURA EM CIÊNCIA E TECNOLOGIA";1356;4127
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - MÉDICO";3523;3978
"CARREIRA DE PROCURADOR FEDERAL";460;3948
"CARREIRA DE SUPORTE TÉCNICO EM PRODUÇÃO E ANÁLISE EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";1086;3683
"ANISTIADO COLLOR - EMPREGO PÚBLICO";390;3587
"CARREIRA DE FISCAL FEDERAL AGROPECUÁRIO";153;3190
"CARREIRA DE AUDITORIA-FISCAL DO TRABALHO";259;2930
"PLANO DE CARGOS DO MAPA";102;2520
"PLANO ESPECIAL DE CARGO DO DPF";200;2403
"PLANO ESPECIAL DE CARGOS DA CULTURA";1108;2393
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - CARGO CRIADO EM 2006";64;2083
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - ATIVIDADES DE COMBATE E CONTROLE DE ENDEMIAS";392;1911
"CARREIRA DE PROCURADOR DA FAZENDA NACIONAL";190;1907
"ESTRUTURA REMUNERATÓRIA ESPECIAL DE CARGOS ESPECÍFICOS";173;1757
"CARREIRA DE ADVOGADO DA UNIÃO";158;1592
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO DOS EX-TERRITÓRIOS";1;1562
"CARREIRA DE DIPLOMATA";12;1513
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";1389;1486
"POLÍCIA MILITAR DOS EX-TERRITÓRIOS";;1412
"PLANO ESPECIAL DE CARGOS DO DNIT";311;1269
"CARREIRA DE SUPORTE TÉCNICO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";1039;1138
"CARREIRA DE PESQUISA EM CIÊNCIA E TECNOLOGIA";337;1092
"CARREIRA DE SUPORTE EM PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";569;979
"PLANO ESPECIAL DE CARGOS DA AGÊNCIA DE VIGILÂNCIA SANITÁRIA";71;960
"CARREIRA DE PRODUÇÃO E ANÁLISE EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";655;940
"CARREIRA DE AGENTE PENITENCIÁRIO";;907
"CARREIRA DE OFICIAL DE CHANCELARIA";29;870
"CARREIRA DE PERITO FEDERAL AGRÁRIO";23;839
"CARREIRA DE GESTÃO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";682;788
"CARREIRA DE PESQUISA EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";618;767
"CARREIRA DE ANALISTA DE INFRA-ESTRUTURA";5;720
"CARREIRA DE PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";364;718
"CARREIRA DE SUPORTE ÀS ATIVIDADES MÉDICO-HOSPITALARES - ÁREA DE SAÚDE";;640
"CARREIRA DE ASSISTENTE DE CHANCELARIA";6;617
"PLANO ESPECIAL DE CARGOS DAS AGÊNCIAS REGULADORAS";179;614
"PLANO ESPECIAL DE CARGOS - DPRF";140;519
"CARREIRA DE DEFENSOR PÚBLICO";58;479
"CARREIRA DE SUPORTE À GESTÃO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";399;451
"CARREIRA DE PESQUISA E DESENVOLVIMENTO EM METROLOGIA E QUALIDADE";431;447
"PLANO ESPECIAL DE CARGOS DO DNIT - ART. 3º-A DA LEI Nº 11.171/2005";73;440
"CARREIRA DE INFRA-ESTRUTURA DE TRANSPORTES";4;432
"POLÍCIA CIVIL DOS EX-TERRITÓRIOS";;416
"PLANO ESPECIAL DE CARGO DO DNPM - ART. 3º DA LEI Nº 11.046/2004";12;366
"CARREIRA DE PESQUISA EM PROPRIEDADE INDUSTRIAL";335;345
"CARREIRA DE ANALISTA DA CVM";292;345
"PLANO ESPECIAL DE CARGOS DA SUFRAMA";;337
"CARREIRA MÉDICA - ÁREA MÉDICA";;334
"CARREIRA DE ANALISTA TÉCNICO DA SUSEP";274;332
"PLANO ESPECIAL DE CARGOS - PECMA";;280
"QUADRO DE PESSOAL DA IN";;268
"CARGOS DA AGÊNCIA NACIONAL DE ÁGUAS";;266
"PLANO ESPECIAL DE CARGOS DO FNDE";;264
"CARREIRA DE SUPORTE À GESTÃO EM METROLOGIA E QUALIDADE";233;263
"CARREIRA DE ESPECIALISTA EM RECURSOS MINERAIS";13;261
"CARREIRA DA SEGURIDADE SOCIAL E DO TRABALHO";176;256
"PLANO ESPECIAL DE CARGOS DO DNPM - ART. 15 DA LEI Nº 11.046/2004";8;255
"PLANO DE CARREIRAS E CARGOS DA SUSEP E DA CVM";225;249
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - MÉDICO";7;246
"CARREIRA DE ANALISTA ADMINISTRATIVO";8;214
"CARREIRA DE PLANEJAMENTO E PESQUISA DO IPEA";50;210
"PLANO DE CARREIRAS E CARGOS DO IPEA - NÃO INTEGRANTES DE CARREIRAS";26;207
"CARREIRA DE SUPORTE TÉCNICO EM PROPRIEDADE INDUSTRIAL";183;201
"CARREIRA DE SUPORTE TÉCNICO À METROLOGIA E QUALIDADE";113;193
"CARREIRA DE ESPECIALISTA EM ATIVIDADES HOSPITALARES - ÁREA DE SAÚDE";;178
"CARREIRA DE SUPORTE TÉCNICO À INFRA-ESTRUTURA DE TRANSPRTES";;168
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA - MÉDICO";144;153
"CARREIRA DE GESTÃO EM METROLOGIA E QUALIDADE";135;150
"CARREIRA DE TÉCNICO ADMINISTRATIVO";6;142
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL INTERMEDIÁRIO DA ÁREA ADMINISTRATIVA";;125
"CARREIRA DE PESQUISA E DESENVOLVIMENTO DE INFORMAÇÕES E AVALIAÇÕES EDUCACIONAIS";;123
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";114;118
"CARREIRA DE PRODUÇÃO E ANÁLISE EM PROPRIEDADE INDUSTRIAL";107;112
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - GRUPO ANTERIOR";47;103
"CARREIRA DA SEGURIDADE SOCIAL E DO TRABALHO - MÉDICO";90;103
"CARREIRA DE PESQUISA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";72;103
"CARREIRA DE SUPORTE EM PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM PROPRIEDADE INDUSTRIAL";97;101
"CARREIRA DE SUPERVISOR MÉDICO-PERICIAL";4;99
"PLANO ESPECIAL DE CARGOS DA EMBRATUR";;91
"PLANO ESPECIAL DE CARGOS DO INEP";;83
"PLANO DE CARREIRAS E CARGOS DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;83
"CARREIRA DE SUPORTE TÉCNICO AO FINANCIAMENTO E EXECUÇÃO DE PROGRAMAS E PROJETOS EDUCACIONAIS";;81
"PLANO D E CLASSIFICAÇÃO DE CARGOS - PCC";11;81
"CARREIRA DE PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM PROPRIEDADE INDUSTRIAL";71;80
"CARREIRA DE FINANCIAMENTO E EXECUÇÃO DE PROGRAMAS E PROJETOS EDUCACIONAIS";;79
"PLANO DE CARGOS DO GRUPO P-1500";;66
"CARREIRA DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;63
"CARGO ISOLADO DE INFRA-ESTRUTURA";;61
"PLANO ESPECIAL DE CARGOS DO MINISTÉRIO DA FAZENDA - MÉDICO";7;55
"PLANO ESPECIAL DE CARGO DO DPF - MÉDICO";3;52
"CARREIRA DE TÉCNICO EM ATIVIDADES DE MINERAÇÃO";2;41
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - ENGENHEIRO-FARMACÊUTICO-QUÍMICO";;36
"PLANO DE CARREIRA E CARGOS DA CVM";33;34
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL AUXILIAR DA ÁREA ADMINISTRATIVA";;33
"PLANO DE CARREIRAS E CARGOS DA PREVIC";;31
"CARREIRA DE ESPECIALISTA EM ASSISTÊNCIA PENITENCIÁRIA";;28
"CARREIRA DE SUPORTE TÉCNICO EM INFORMAÇÕES EDUCACIONAIS";;28
"CARREIRA DE ESPECIALISTA EM PREVIDÊNCIA COMPLEMENTAR";;25
"CARREIRA DE PROCURADOR FEDERAL (TRANSFORMADO)";4;24
"PLANO DE CARREIRAS E CARGOS DO IBGE";1;22
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - GRUPO ANTERIOR - MÉDICO";13;21
"CARREIRA DE SUPORTE À GESTÃO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";;20
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";;19
"CARREIRA DE APOIO OPERACIONAL À GESTÃO EM METROLOGIA E QUALIDADE";17;17
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - SANITARISTA";2;17
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA - CARGO ISOLADO";14;16
