"CARREIRA/PLANO";"ENSINO FUNDAMENTAL INCOMPLETO";"ENSINO FUNDAMENTAL";"ENSINO MÉDIO";"ENSINO SUPERIOR";"PÓS GRADUAÇÃO";"total"
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO";6162;5576;42551;57027;965;112281
"CARREIRA DE MAGISTÉRIO SUPERIOR";;;;68858;3377;72235
"";706;1416;7756;27409;370;37657
"CARREIRA DO SEGURO SOCIAL";621;1060;14313;18262;17;34273
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO, TÉCNICO E TECNOLÓGICO";;;212;27552;3340;31104
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO";768;1416;13406;9878;9;25477
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO";3794;4046;10951;6453;22;25266
"CARREIRA DE AUDITORIA FISCAL DA RECEITA FEDERAL DO BRASIL";1;4;916;17325;;18246
"CARREIRA POLICIAL FEDERAL";1;3;1146;10149;6;11305
"CARREIRA DE POLICIAL RODOVIÁRIO FEDERAL";10;49;3939;6028;9;10035
"CONTRATO TEMPORÁRIO - LEI Nº 8.745/93";;;3440;5400;1080;9920
"PLANO ESPECIAL DE CARGOS DO MINISTÉRIO DA FAZENDA";438;566;3737;3121;1;7863
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - MÉDICO";;;;6291;150;6441
"CARREIRA DE ESPECIALISTA EM MEIO AMBIENTE";300;427;1302;3986;16;6031
"CARGOS DAS AGÊNCIAS REGULADORAS";;;1219;4719;54;5992
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO";66;102;1277;3957;97;5499
"AGENTE DE COMBATE ÀS ENDEMIAS - LEI Nº 11.350/2006";6;792;3628;600;;5026
"CARREIRAS DE GESTÃO GOVERNAMENTAL";1;11;496;3965;202;4675
"CARREIRA DE PERITO MÉDICO PREVIDENCIÁRIO";;;1;4490;9;4500
"PLANO DE CARREIRA DOS CARGOS DE REFORMA E DESENVOLVIMENTO AGRÁRIO";188;438;1964;1757;3;4350
"CARREIRA DE GESTÃO, PLANEJAMENTO E INFRA-ESTRUTURA EM CIÊNCIA E TECNOLOGIA";148;119;981;2654;225;4127
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - MÉDICO";;;;3973;5;3978
"CARREIRA DE PROCURADOR FEDERAL";;;5;3910;33;3948
"CARREIRA DE SUPORTE TÉCNICO EM PRODUÇÃO E ANÁLISE EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";14;74;2139;1455;1;3683
"ANISTIADO COLLOR - EMPREGO PÚBLICO";125;670;1824;966;2;3587
"CARREIRA DE FISCAL FEDERAL AGROPECUÁRIO";;;4;3122;64;3190
"CARREIRA DE AUDITORIA-FISCAL DO TRABALHO";;1;;2923;6;2930
"PLANO DE CARGOS DO MAPA";77;267;1522;653;1;2520
"PLANO ESPECIAL DE CARGO DO DPF";67;151;1334;851;;2403
"PLANO ESPECIAL DE CARGOS DA CULTURA";116;197;546;1409;125;2393
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - CARGO CRIADO EM 2006";;3;456;1606;18;2083
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - ATIVIDADES DE COMBATE E CONTROLE DE ENDEMIAS";206;233;1118;352;2;1911
"CARREIRA DE PROCURADOR DA FAZENDA NACIONAL";;;;1907;;1907
"ESTRUTURA REMUNERATÓRIA ESPECIAL DE CARGOS ESPECÍFICOS";;;;1749;8;1757
"CARREIRA DE ADVOGADO DA UNIÃO";;;;1575;17;1592
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO DOS EX-TERRITÓRIOS";13;38;707;800;4;1562
"CARREIRA DE DIPLOMATA";;;;1508;5;1513
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";;;8;1460;18;1486
